"";"ans1";"Biospheric-1biospheric";"Biospheric-2biospheric";"Biospheric-3biospheric";"Biospheric-4biospheric";"commCheck";"concernClimate1";"concernClimate2";"dummy_informedconsent";"education";"feedback_critic";"ID";"lrscale";"mean_BiosphericValues";"mean_CCCprobability";"mean_CET";"mean_PolicyItems";"mean_RiskPerception";"meta.devicePixelRatio";"meta.language";"meta.locale";"meta.platform";"meta.screen_height";"meta.screen_width";"meta.scroll_height";"meta.scroll_width";"meta.timeZone";"meta.timezoneOffset";"meta.userAgent";"meta.window_innerHeight";"meta.window_innerWidth";"policyItems-1";"policyItems-2";"policyItems-3";"policyItems-4";"policyItems-5";"policyItems-6";"policyItems-7";"policyItems-8";"probabilityClimate1";"probabilityClimate2";"PROLIFIC_PID";"Risk-1riskProb";"Risk-2riskProb";"Risk-3riskProb";"Risk-4riskProb";"rlgdgr";"total_min_prolific_t2";"CAM_ID";"participantCAM";"mean_valence_macro";"mean_valence_normed_macro";"density_macro";"transitivity_macro";"centr_degree_macro";"centr_clo_macro";"centr_betw_macro";"centr_eigen_macro";"meanDistance_directed_macro";"meanDistance_undirected_macro";"diameter_weighted_undirected_macro";"diameter_unweighted_undirected_macro";"diameter_unweighted_directed_macro";"num_nodes_macro";"num_nodes_pos_macro";"num_nodes_neg_macro";"num_nodes_neut_macro";"num_nodes_ambi_macro";"num_edges_macro";"num_edges_solid_macro";"num_edges_dashed_macro";"num_edges_invaliddashed_macro";"meanWeightEdges_macro";"reciprocity_macro";"assortativity_valence_macro";"assortativityDegree_macro";"degreetot_micro_ClimateChange";"valence_micro_ClimateChange";"centr_clo_micro_ClimateChange";"transitivity_micro_ClimateChange";"country"
"24";"Der Klimawandel bedroht die Menschheit und die Erde in erheblichem Ausmaß";7;8;8;6;1;5;4;1;"master";"";24;"5";7,25;5;1;5,5;5,75;1;"en-US";"de";"MacIntel";1440;3440;435;3352;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";1330;3352;6;5;4;6;6;5;6;6;4;7;"6516d3d61888082c45b2e8b4";7;7;4;5;"2";8,91666666666667;"48bd4d28-a3d6-4eb0-8855-edb1c4e82b0e";"noID";-0,230769230769231;0,0769230769230769;0,41025641025641;0,524096385542169;0,58974358974359;0,807505150820659;0,449389730639731;0,560429292371735;1,58974358974359;1,58974358974359;2;2;2;13;5;4;0;4;32;32;0;0;1;1;-0,00961908426317815;-0,336048879837067;12;-3;1;0,303030303030303;"Germany"
"25";"Der Klimawandel ist insgesamt etwas negatives. Er ist bedrohlich für die Umwelt, Tiere, Pflanzen und auch für den Mensch. In Deutschland will schon keiner bei 40 Grad im Sommer schwitzen, dabei ist die Situation in anderen Teilen der Welt, wie Afrika oder Indien, noch ernster. Er könnte als Trigger dienen um einen Wandel voranzutreiben, aber aktuell scheint es nicht schnell genug voranzugehen, da nach wie vor immer mehr CO2 emittiert wird. Das ist erschreckend, zumal der Klimawandel seit Jahrzehnten bekannt ist und kaum etwas unternommen wird. ";8;9;8;7;1;7;6;1;"master";"";25;"4";8;6,75;0,84;5,125;6,25;1;"en-US";"en-DE";"Win32";1440;2560;179;2560;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";1287;2560;7;6;5;6;7;2;3;5;7;7;"652d1a0830b934d1643b80c5";7;7;5;6;"1";28,3666666666667;"70ba6b16-7abe-4899-93ba-8f88fe3fa65d";"noID";-0,352941176470588;-0,117647058823529;0,132352941176471;0,136363636363636;0,367647058823529;0,558128522818466;0,790104166666667;0,78484168093447;6,13235294117647;6,13235294117647;12;5;5;17;7;9;0;1;18;11;7;0;2,16666666666667;1;0,0548926014319831;-0,193702290076336;8;-3;1;0,0714285714285714;"Germany"
"26";"da ich hoffnungsvoll bin, dass wir eine technische Lösung finden werden";6;6;6;6;1;5;3;1;"master";"";26;"6";6;4,25;1;2,375;5;2;"en-US";"de";"MacIntel";1050;1680;435;1680;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";920;1680;4;4;1;6;1;1;1;1;4;5;"5b0a869f1e55760001b93fa3";4;6;5;5;"1";14,6;"91a1ace9-8c9c-4a5c-afdb-e318b32d3985";"noID";0,583333333333333;0,25;0,181818181818182;0,0526315789473684;0,818181818181818;0,99;0,981818181818182;0,756193060079504;2,63636363636364;2,63636363636364;6;2;2;12;4;1;5;2;12;12;0;0;1,5;1;-0,301204819277109;-0,888;11;0;1;0,0181818181818182;"Germany"
"27";"Aufgrund des Themas ""Klimawandel"" sehe ich kaum Aspekte, die nicht in sich bereits negativ sind.";8;8;9;8;1;6;6;1;"master";"";27;"4";8,25;6;0,2;6;6,25;1;"de";"de-DE";"Win32";1440;2560;179;2560;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";1307;2560;7;6;7;7;6;5;4;6;5;7;"6458f51ce9dfaceaf66923b7";6;7;5;7;"4";14,35;"0de39c15-9493-44ac-aac4-896ded05f44a";"noID";-2,53846153846154;-0,846153846153846;0,217948717948718;0,214285714285714;0,282051282051282;0,34538788855871;0,299452861952862;0,616507512323556;6,83333333333333;6,83333333333333;15;5;5;13;0;11;2;0;17;15;2;0;2,88235294117647;1;-0,133333333333336;-0,319338422391858;5;-3;1;0,2;"Germany"
"28";"weil der Klimawandel etwas Schlechtes ist";6;7;7;6;1;6;5;1;"master";"";28;"6";6,5;5,5;0,32;4,75;6,25;2;"de-DE";"de-DE";"MacIntel";900;1440;179;1417;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15";740;1417;7;4;7;4;7;2;2;5;4;7;"5d0f89123382180001624f48";7;7;5;6;"10";33,7833333333333;"3a41389d-5f57-4e2b-bd73-74b2fd814806";"noID";-1;-0,285714285714286;0,164835164835165;0,12;0,142857142857143;0,3306626560625;0,527613412228797;0,645274306055327;7,91208791208791;7,91208791208791;15;6;6;14;4;8;0;2;15;13;2;0;2,53333333333333;1;-0,516853932584269;-0,408163265306122;4;-3;1;0,166666666666667;"Germany"
"29";"Meinungsspaltendes Thema was nicht mehr rational genug betrachtet wird. Viel Rumgespiele mit Angst.";7;7;5;5;1;2;1;1;"master";"";29;"5";6;3;1;3,5;3,75;1;"en-US";"en-US";"Win32";974;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";973;1920;7;1;3;2;6;1;1;7;3;6;"63eb38339e72d01818aeb71b";5;6;1;3;"2";13,05;"3f0a3706-8b20-46cc-8e4f-f4271253c4a1";"noID";-1,06666666666667;-0,333333333333333;0,161904761904762;0,0810810810810811;0,338095238095238;0,43521615262358;0,698194662480377;0,754586803847797;2,88571428571429;2,88571428571429;7;7;7;15;4;9;1;1;17;17;0;0;1;1;0,249999999999999;-0,348080133555926;7;0;1;0,0476190476190476;"Germany"
"30";"mit dem Begriff Klimawandel verbinde ich insbesondere eine Gesellschaft, die nicht auf Warnungen der Wissenschaft reagiert und nur im Interesse des Profits und der Wirtschaft handelt, obwohl dies in naher Zukunft sowohl soziale als auch ökologische Folgen haben wird. Da es sich um meine Zukunft handelt und mir und meinen Mitmenschen in großen Teilen die Möglichkeit und das Recht auf ein normales Leben genommen wird, bin ich bei dem Begriff Klimawandel eher negativ gestimmt";8;9;9;8;1;7;7;1;"highschool";"";30;"1";8,5;7;0;6,125;7;1;"de-DE";"de";"Win32";900;1600;435;1600;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";743;1600;7;2;7;7;7;5;7;7;7;7;"6516d9bb4dd1c665709ed88a";7;7;7;7;"1";22,05;"2057ffef-1d10-4b48-acb0-be1df94d3111";"noID";-1,38888888888889;-0,5;0,183006535947712;0,192307692307692;0,228758169934641;0,403454015211841;0,396410034602076;0,641618223027374;3,87581699346405;3,87581699346405;9;5;5;18;3;12;2;1;28;26;2;0;1,85714285714286;1;-0,382716049382715;-0,248062015503875;7;-3;1;0,142857142857143;"Germany"
"31";"Weil es die Menschheit und das Leben negative beeinflusst. Der Klimawandel bringt nichts Gutes mit sich.";8;6;7;6;1;5;5;1;"master";"";31;"4";6,75;5,25;0,72;4,875;5,75;1,5;"en";"de";"Win32";720;1280;436;1280;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";571;1280;7;3;7;6;7;2;2;5;5;6;"6554d26c5dae0f7aa6a24b19";7;6;5;5;"1";30,2;"713cbc99-763a-44d4-96b0-e91aacb4f33d";"noID";-0,230769230769231;-0,230769230769231;0,256410256410256;0,218181818181818;0,743589743589744;0,918457300275483;0,648989898989899;0,6614982610536;3,52564102564103;3,52564102564103;6;2;2;13;5;8;0;0;20;5;15;7;2,05;1;0,0792838874680347;-0,875299760191846;9;-2;0,8;0,222222222222222;"Germany"
"32";"Das liegt daran, dass das Thema des Klimawandels eines ist, dass mit viel Sorge und Leid verbunden ist. Mir fällt es schwer da wirklich viele positive Ansätze und Hoffnungsschimmer zu zeichnen, insbesondere bei den aktuellen Entwicklungen.";7;9;8;7;1;7;5;1;"bachelor";"";32;"2";7,75;6;0,2;6,5;6;1,25;"de-DE";"de";"Win32";864;1536;436;1536;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";703;1536;7;6;7;7;7;5;6;7;5;7;"6039b30f86b21c537bfb9448";7;7;5;5;"2";34,3166666666667;"e774e5d7-1ada-4b38-9da3-4eda546cb720";"noID";-1,35714285714286;-0,642857142857143;0,285714285714286;0,247058823529412;0,32967032967033;0,447055839703266;0,386916502301118;0,553590824111046;4,34065934065934;4,34065934065934;9;4;4;14;1;10;0;3;26;23;3;0;2,46153846153846;1;-0,0833333333333354;-0,248199711953913;8;-3;1;0,107142857142857;"Germany"
"33";"Ich empfinde den Klimawandel als etwas sehr negatives. Er bringt uns Menschen keinerlei Vorteile, bringt aber jede Menge Probleme mit sich. Gleichzeitig bin ich die Diskussion über Klimapolitik leid, da diese häufig von Meinungen und nicht von Fakten getrieben wird.";8;8;9;9;1;5;4;1;"highschool";"";33;"5";8,5;4,5;0,6;5,75;4;2;"de-DE";"de";"MacIntel";900;1440;435;1440;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";694;1440;7;7;7;6;6;3;4;6;3;6;"6304a2502fbdd7626ed9c2ac";5;6;2;3;"1";26,1166666666667;"ba2e12b9-5816-4c2a-9f75-eae01ad96bdf";"noID";-1,16666666666667;-0,444444444444444;0,117647058823529;0;0,235294117647059;0,433191554707816;0,698961937716263;0,765545462045814;5,73202614379085;5,73202614379085;13;6;6;18;4;12;0;2;18;7;11;8;2;1;-0,00253164556962227;-0,209905660377358;6;-2;1;0;"Germany"
"34";"das Thema finde ich negativ da das Thema falsch dargestellt wird ";5;4;3;3;1;2;1;1;"highschool";"";34;"8";3,75;1,5;1;2,375;2,25;1,5;"de-DE";"de";"Win32";720;1280;436;1280;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";642;1280;5;1;3;1;3;1;1;4;1;2;"65033f53e04273a8ae24c2c7";3;4;1;1;"9";26,2333333333333;"e44388ba-db08-42b9-a627-7f123dc66c20";"noID";-2,25;-0,75;0,166666666666667;0;0,196969696969697;0,342434947299078;0,535537190082645;0,679461501597685;7,59090909090909;7,59090909090909;16;6;6;12;1;10;1;0;11;1;10;7;2,45454545454545;1;-0,524752475247521;-0,0731707317073185;4;0;1;0;"Germany"
"35";"Weil der Klimawandel eines der größten Probleme unserer Zeit ist und viel zu wenig  getan wird";9;9;9;8;1;7;5;1;"highschool";"";35;"3";8,75;6,25;0,48;5,75;6;1,5;"de";"de-DE";"Win32";720;1280;179;1280;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";559;1280;7;2;7;7;7;2;7;7;6;7;"652156df21a8be7bb4c6f4e7";7;7;5;5;"4";25,4833333333333;"17739851-1857-4ce0-a381-db5833e1f9e4";"noID";-1,13333333333333;-0,333333333333333;0,180952380952381;0,272727272727273;0,247619047619048;0,426977609390256;0,319466248037677;0,656112109163121;6,55238095238095;6,55238095238095;11;4;4;15;4;9;0;2;19;18;1;0;2,78947368421053;1;0,351937984496124;-0,431168831168832;5;-3;1;0,4;"Germany"
"36";"Generell habe ich Angst vor dem Klimawandel und sehe darin eine der größten Gefahren für die Menschheit. Es handelt sich hierbei um ein vielschichtiges zukünftiges Problem, wobei die Menschen in beiden (vielschichtige Probleme verstehen und für Zukunft planen) schlecht sind. Daher bin ich sehr deprimiert in diesem Zusammenhang. ";8;9;7;9;1;7;6;1;"master";"";36;"6";8,25;6,5;0,76;5;6,5;1;"en";"en-US";"Win32";1080;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";923;1920;6;3;6;6;5;2;7;5;6;7;"63b6be975097f6e31872fc0e";7;7;6;6;"1";26,0166666666667;"3ec6ecdf-4b8d-4b26-9bc7-0b026f5b8cb4";"noID";-1,64705882352941;-0,470588235294118;0,176470588235294;0,318181818181818;0,323529411764706;0,547944266138365;0,6734375;0,719297542479096;6,47058823529412;6,47058823529412;12;4;4;17;3;11;0;3;24;18;6;0;2,625;1;-0,368029739776951;-0,128888888888889;8;-3;1;0,142857142857143;"Germany"
"37";"Meine Mind-Map war negativ, weil der Klimawandel eigentlich nur negativ bewertet werden kann. Es entsteht durch schlechtes Handeln der Menschenheit und bringt unendliche negative Folgen mit sich hin.";8;8;8;8;1;6;5;1;"bachelor";"nein";37;"3";8;5,75;0;5,5;6,5;1;"es-ES";"es-ES";"MacIntel";900;1440;435;1440;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4.1 Safari/605.1.15";820;1440;7;5;7;3;7;3;5;7;5;7;"6384d76e3da4c98dc29e390b";7;7;5;7;"1";32,3333333333333;"2a21cdd3-f86b-4083-af84-9dc396fd5c64";"noID";-2,23076923076923;-0,769230769230769;0,153846153846154;0;0,429487179487179;0,551220697265322;0,715909090909091;0,694882695881959;6,38461538461539;6,38461538461539;9;3;3;13;1;11;1;0;12;11;1;0;2,83333333333333;1;-0,538461538461539;-0,838709677419355;7;0;1;0;"Germany"
"38";"Ich wollte mich dazu einfach erstmal nicht so äußern, wenn es um die emotionale Bindung geht. Ich wollte die Mindmap erstellen und aufschreiben, was ich mir alles dazu dachte";6;5;5;5;0;4;4;1;"highschool";"";38;"6";5,25;4;1;4,125;4,5;1;"de-DE";"de";"Win32";1080;1920;435;1879;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0";931;1879;3;4;4;4;4;5;5;4;4;4;"5ff5922c4721d5000981fcde";4;5;4;5;"8";8,51666666666667;"def43076-a54e-4c8e-bb1c-63deb8f425df";"noID";0;0;0,142857142857143;0;0,395604395604396;0,401606612833332;0,635108481262327;0,773349315383926;2,69230769230769;2,69230769230769;4;4;4;14;0;0;14;0;13;13;0;0;1;1;NA;-0,658436213991769;3;0;1;0;"Germany"
"39";"Mir sind mehr negative Auswirkungen des Klimawandels eingefallen als positive Dinge.";9;9;8;9;1;7;5;1;"highschool";"";39;"3";8,75;6,5;0,12;5,5;7;1;"de";"de-DE";"Win32";1080;1920;179;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";899;1920;7;1;7;7;7;1;7;7;7;7;"5b327d06adb0f7000125460e";7;7;7;7;"3";30,6166666666667;"3955d6d0-b5de-4692-a7bb-4f2ff25d4544";"noID";-0,666666666666667;-0,222222222222222;0,156862745098039;0,116883116883117;0,431372549019608;0,601685701915556;0,774653979238754;0,744804247089552;4,94117647058824;4,94117647058824;10;4;4;18;7;11;0;0;24;16;8;0;2,25;1;0,11111111111111;-0,327752502274795;10;-3;1;0,0444444444444444;"Germany"
"40";"Da der menschengemachte Klimawandel eine Katastrophe für sämtliche Lebewesen auf diesem Planeten sowie dem Planeten selbst ist und wir auf eine existenzielle Krise zusteuern die vermutlich nicht mehr aufzuhalten ist.";8;8;8;6;1;7;7;1;"no";"";40;"3";7,5;6,5;0,16;5,875;6,25;1;"de-DE";"de";"Win32";942;1701;435;1699;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";940;1699;7;6;7;7;7;3;4;6;5;7;"6517283ed2294dbc8561979d";7;7;5;6;"1";18,7333333333333;"7bfff824-f797-4ce2-8055-7a83d416e98a";"noID";-2,38461538461538;-0,923076923076923;0,243589743589744;0,244186046511628;0,756410256410256;0,939728453364817;0,84469696969697;0,706716638931938;1,75641025641026;1,75641025641026;2;2;2;13;0;12;1;0;19;19;0;0;1;1;-0,461538461538458;-0,561933955691793;12;0;1;0,106060606060606;"Germany"
"41";"Es gibt bereits Maßnahmen die gegen den Klimawandel angehen.";8;8;8;8;1;7;5;1;"highschool";"";41;"3";8;6,5;0;5,875;6,5;1;"de-DE";"de";"MacIntel";1440;3440;435;1549;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";695;1549;7;5;7;5;7;3;6;7;7;7;"611599c2d68c11e25569d969";7;7;6;6;"1";20,6166666666667;"9f17ae00-bc89-4d1e-a486-5818429b452f";"noID";0,5;0,214285714285714;0,142857142857143;0;0,318681318681319;0,568270134470792;0,791913214990138;0,747294727145469;5,28571428571429;5,28571428571429;9;4;4;14;8;5;1;0;13;9;4;1;1,84615384615385;1;0,123595505617979;-0,267295597484276;6;0;1;0;"Germany"
"42";"Am Klimawandel gibt es nichts positives, es werden nur sehr viele probleme kommen";8;9;8;6;1;7;7;1;"highschool";"";42;"1";7,75;7;0,48;4,375;7;1,5;"de-DE";"de";"Win32";1067;1707;436;1707;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";942;1707;7;7;4;1;7;1;1;7;7;7;"633ddca746fbf59ca2e530aa";7;7;7;7;"4";36,4833333333333;"7fd7a4d2-3b67-4eaa-b19f-a9a22b1eba9d";"noID";-2,76923076923077;-0,923076923076923;0,243589743589744;0,327272727272727;0,423076923076923;0,553007070512201;0,630050505050505;0,681450952101975;2,26923076923077;2,26923076923077;5;5;5;13;0;12;1;0;19;19;0;0;1;1;-0,266666666666667;-0,198477433387711;8;0;1;0,178571428571429;"Germany"
"43";"Das Thema Klimawandel ist sehr sorgniserregend und muss ernst genommen werden. Die Folgen sind fatal und bringt nur wenig Vorteile mit sich.";9;9;9;7;1;7;6;1;"highschool";"";43;"5";8,5;6,5;0,96;3,375;7;1;"de";"de-DE";"Win32";1080;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";927;1920;7;1;4;1;5;1;1;7;6;7;"6522b07cf3d1949895af05f3";7;7;7;7;"6";20,8333333333333;"69d126a5-17bb-483f-948b-7e3649d24516";"noID";-1,33333333333333;-0,5;0,333333333333333;0,324324324324324;0,303030303030303;0,404352045831855;0,227768595041322;0,517173931607191;2,59090909090909;2,59090909090909;5;3;3;12;2;8;0;2;22;19;3;1;1,77272727272727;1;0,166666666666668;-0,352855051244508;7;-3;1;0,285714285714286;"Germany"
"44";"Weil, mMn, die Menscheit den Klimawandel nicht aufhalten kann/wird.";5;4;4;3;1;4;4;1;"bachelor";"";44;"6";4;3,5;1;2,875;4;1;"de";"de-DE";"Win32";1080;1920;179;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";995;1920;7;1;4;1;1;1;3;5;3;3;"627d6dfb32131b47c91c4994";5;5;4;2;"1";14,4666666666667;"8b5e5dfe-88dd-463f-aee5-9aa51c66e8e9";"noID";-0,866666666666667;-0,266666666666667;0,228571428571429;0,272727272727273;0,2;0,386171058951937;0,396389324960754;0,552835115756473;5,84761904761905;5,84761904761905;12;4;4;15;3;7;5;0;24;14;10;1;2,375;1;-0,10091743119266;-0,123404255319149;5;0;1;0,2;"Germany"
"45";"Klimawandel wird allgemein negativ betrachtet. Warum das so ist IST ECHT NE GUTE FRAGE";8;8;8;8;1;4;5;1;"no";"man wurde nicht gefragt warum man sich so oder so entschieden hat";45;"7";8;5,25;1;2,625;5;1;"de-DE";"de";"Win32";900;1600;435;1546;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/105.0.0.0";742;1546;4;1;1;5;1;1;3;5;5;7;"615416df060f5730a1d4e113";5;5;5;5;"9";22,2666666666667;"e62651f8-d91d-451c-a3a9-1c5cf8aa8448";"noID";-0,6875;-0,1875;0,266666666666667;0,264705882352941;0,4;0,484843262176713;0,317869488536155;0,610997654964996;2,36666666666667;2,36666666666667;5;3;3;16;3;6;0;7;32;30;2;0;1,375;1;-0,313603818615752;-0,384615384615385;3;-3;0,689655172413793;0;"Germany"
"46";"Um die Folgen des Klimawandels zu stoppen, ist ein größeres Bewusstsein für das Thema erforderlich.";8;7;6;7;1;6;6;1;"master";".";46;"3";7;6,25;0,2;4,125;6,25;1;"es-ES";"es-ES";"MacIntel";900;1440;435;1324;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15";721;1324;7;3;5;1;6;1;4;6;6;7;"6543aeb6dd91d965fc3df508";7;6;6;6;"1";21,45;"c050b4bf-237e-4b7a-97ad-55cbc32b3585";"noID";-1,38461538461538;-0,461538461538462;0,230769230769231;0,214285714285714;0,769230769230769;0,947992916174735;0,859848484848485;0,711722676303079;5,12820512820513;5,12820512820513;6;2;2;13;3;9;1;0;18;18;0;2;2,88888888888889;1;-0,411764705882352;-0,638069705093834;12;0;1;0,0909090909090909;"Germany"
"47";"Ich halte den Klimawandel für ein ernstes Problem, das von Tag zu Tag zunimmt, insbesondere in den Ländern des Nahen Ostens";4;9;5;7;1;6;6;1;"phd";"viel Glück";47;"6";6,25;5,5;0,76;4,5;5,25;1;"tr";"tr";"Win32";768;1366;435;681;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";609;681;4;5;7;1;5;7;6;1;3;7;"6521568f62c55df10e59dc9a";6;7;5;3;"1";12,5166666666667;"9cb5adba-97c3-41f2-94b2-1c3f8218ecf8";"noID";-0,230769230769231;0;0,166666666666667;0,0714285714285714;0,583333333333333;0,73720559743287;0,900252525252525;0,758488450651388;3,55128205128205;3,55128205128205;7;4;4;13;6;6;1;0;13;6;7;3;1,76923076923077;1;-0,514563106796117;-0,661421077730091;9;0;1;0;"Germany"
"48";"Weil Klimawandel negativ ist";8;8;8;6;1;6;5;1;"highschool";"";48;"4";7,5;5,75;0,16;5,375;6;1,25;"en-DE";"en-US";"Win32";864;1536;436;1536;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Viewer/91.9.3348.49";754;1536;7;3;6;5;7;5;4;6;6;6;"645b8b2128bbb68d29778068";6;6;6;6;"4";33,3333333333333;"226231d1-a9ae-4f11-a6c2-824102feee01";"noID";-0,153846153846154;-0,0769230769230769;0,153846153846154;0;0,846153846153846;1;1;0,775990762260204;3,53846153846154;3,53846153846154;5;2;2;13;6;7;0;0;12;6;6;0;1,91666666666667;1;-0,333333333333333;-1;12;-1;1;0;"Germany"
"49";"der klima wandel wird unser leben langfristig beeinflussen und wir müssen unser leben anpassen ansonsten wird es nur schlimmer und schlimmer";9;9;8;9;1;7;6;1;"master";"";49;"6";8,75;6,75;1;6,875;7;2;"en-US";"en-GB";"MacIntel";960;1536;435;1536;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:120.0) Gecko/20100101 Firefox/120.0";847;1536;7;6;7;7;7;7;7;7;7;7;"604b169fe4b7991ec08da3a6";7;7;7;7;"3";27,3166666666667;"fa9134ce-8918-42be-9093-4ff3c46db3bc";"noID";-1;-0,333333333333333;0,348484848484849;0,423913043478261;0,560606060606061;0,737463411201801;0,64297520661157;0,600166382618626;3,48484848484848;3,48484848484848;6;3;3;12;3;7;1;1;23;19;4;0;2,34782608695652;1;0,0943005181347156;-0,379310344827586;10;0;1;0,222222222222222;"Germany"
"50";"Ich habe Gründe für Klimawandel genannt und nicht meine Emotionen dargestellt. Ich habe beschrieben was für Folgen der Klimawandel mit sich bringen kann und auch welche Veraenderungen.";9;9;9;8;1;5;5;1;"master";"";50;"6";8,75;6;0,12;3,875;5,75;1;"tr-TR";"tr";"Win32";900;1600;435;1600;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";783;1600;5;4;6;1;6;2;2;5;7;7;"6529483ef2abe408d574860a";7;6;5;5;"4";23,2166666666667;"4e249bba-71ed-4569-b831-fe054ff74b39";"noID";0;0;0,153846153846154;0;0,346153846153846;0,343704423918328;0,579545454545455;0,58767512035357;2,61538461538462;2,61538461538462;4;4;4;13;6;6;1;0;12;12;0;0;1;1;0,480519480519479;-0,988249118683902;2;0;1;0;"Germany"
